Ocupação	Tempo	E[N]	E[W]	Erro de Little
12300	0,834298	4,427445	0,886214	1,76279E-10
12400	0,833884	4,41897	0,884799	2,13213E-10
12500	0,834287	4,436085	0,887736	2,66258E-10
12600	0,833811	4,421427	0,884971	1,82064E-10
12700	0,833963	4,415752	0,883316	2,13854E-10
12800	0,83409	4,428621	0,885672	3,22283E-10
12900	0,833308	4,412946	0,882779	3,67915E-10
13000	0,833382	4,40829	0,881784	3,70591E-10
13100	0,833373	4,401276	0,880375	4,17568E-10
13200	0,833343	4,395278	0,879199	3,87865E-10
13300	0,833539	4,386461	0,877605	3,79643E-10
13400	0,833016	4,379749	0,876714	3,65453E-10
13500	0,832876	4,375563	0,875744	3,93349E-10
13600	0,832994	4,373869	0,874965	4,08844E-10
13700	0,832742	4,375034	0,875685	4,00497E-10
13800	0,832546	4,364577	0,873876	3,52062E-10
13900	0,832684	4,380568	0,876625	3,6545E-10
14000	0,832991	4,392778	0,878886	4,02572E-10
14100	0,833015	4,389773	0,878326	4,14108E-10
14200	0,833492	4,398662	0,879937	4,05278E-10
14300	0,833642	4,393394	0,878742	4,17359E-10
14400	0,833645	4,397953	0,879773	3,76886E-10
14500	0,833908	4,412507	0,882025	3,83637E-10
14600	0,833711	4,410708	0,882044	4,39547E-10
14700	0,834083	4,40945	0,881373	5,04033E-10
14800	0,834418	4,408002	0,881049	5,27681E-10
14900	0,834867	4,428442	0,884878	4,79117E-10
15000	0,834935	4,433725	0,886238	4,26993E-10
15100	0,83468	4,42297	0,884228	5,37234E-10
15200	0,834895	4,424934	0,884251	5,25143E-10
15300	0,834714	4,416593	0,882834	4,64397E-10
15400	0,834671	4,408881	0,881278	4,74591E-10
15500	0,834343	4,397054	0,879295	5,30593E-10
15600	0,834716	4,434006	0,886144	4,29895E-10
15700	0,834632	4,425163	0,884232	5,65397E-10
15800	0,834717	4,420306	0,883194	5,80764E-10
15900	0,835132	4,428585	0,884463	4,48749E-10
16000	0,835078	4,429745	0,884748	4,63968E-10
16100	0,835054	4,427938	0,884427	4,79151E-10
16200	0,835006	4,423179	0,883398	5,44883E-10
16300	0,835104	4,419628	0,882526	4,90733E-10
16400	0,834627	4,408325	0,880599	4,48919E-10
16500	0,835044	4,413942	0,881377	4,68779E-10
16600	0,834929	4,408557	0,880529	5,31162E-10
16700	0,834912	4,400858	0,879002	5,66231E-10
16800	0,834673	4,402141	0,879071	5,44404E-10
16900	0,834787	4,406505	0,879916	4,58719E-10
17000	0,834763	4,404373	0,87934	5,0782E-10
17100	0,83457	4,396297	0,878105	5,52587E-10
17200	0,834225	4,386573	0,876641	5,17836E-10
17300	0,834362	4,380538	0,875214	4,80051E-10
17400	0,834161	4,371579	0,873244	5,01776E-10
17500	0,834124	4,368337	0,872641	4,19431E-10
17600	0,83383	4,359698	0,871222	3,88132E-10
17700	0,833985	4,358642	0,87088	3,40514E-10
17800	0,833841	4,35049	0,869238	2,7086E-10
17900	0,834188	4,358058	0,870551	3,79025E-10
18000	0,834459	4,362008	0,87117	3,00532E-10
18100	0,834616	4,36277	0,87108	2,7679E-10
18200	0,834449	4,366023	0,871805	2,45341E-10
18300	0,834212	4,362953	0,871464	2,93142E-10
18400	0,833851	4,35391	0,869938	2,58234E-10
18500	0,833925	4,354884	0,870166	1,74289E-10
18600	0,833976	4,365426	0,872118	1,28492E-10
18700	0,834312	4,375917	0,873816	2,02897E-10
18800	0,834126	4,374822	0,873596	2,00096E-10
18900	0,834146	4,369936	0,872702	2,11351E-10
19000	0,834122	4,368335	0,872592	2,35834E-10
19100	0,834297	4,367598	0,87243	2,19418E-10
19200	0,834354	4,365677	0,871864	2,2226E-10
19300	0,834298	4,36108	0,871048	2,8874E-10
19400	0,834306	4,369798	0,872513	3,74119E-10
19500	0,834065	4,361062	0,870759	4,2425E-10
19600	0,833798	4,356028	0,869793	3,69453E-10
19700	0,834274	4,38507	0,875448	3,39918E-10
19800	0,834116	4,376907	0,874135	2,93531E-10
19900	0,834075	4,369484	0,8728	2,86125E-10
20000	0,83401	4,365822	0,872178	2,94408E-10
20100	0,833813	4,359196	0,870918	2,93366E-10
20200	0,834053	4,363432	0,871336	3,11002E-10
20300	0,834008	4,363395	0,871464	3,51082E-10
20400	0,8345	4,373499	0,8733	4,07849E-10
20500	0,834276	4,364445	0,871705	5,03509E-10
20600	0,834094	4,362459	0,871419	5,46148E-10
20700	0,834264	4,363942	0,871527	4,46749E-10
20800	0,834433	4,363346	0,871099	1,82604E-10
20900	0,834463	4,360492	0,870472	3,2532E-10
21000	0,834461	4,359468	0,870144	4,1304E-10
21100	0,834017	4,349865	0,86854	4,2531E-10
21200	0,834319	4,357402	0,869923	4,82848E-10
21300	0,834237	4,354504	0,869336	4,10016E-10
21400	0,834303	4,350902	0,868637	3,95298E-10
21500	0,834076	4,346531	0,86786	4,61083E-10
21600	0,833944	4,339142	0,866659	4,38943E-10
21700	0,834028	4,338816	0,86658	3,58974E-10
21800	0,833978	4,336064	0,865921	2,93967E-10
21900	0,833914	4,331751	0,865147	1,89066E-10
22000	0,834101	4,335301	0,865872	3,6357E-10
22100	0,833849	4,327142	0,864666	3,04867E-10
22200	0,833689	4,320575	0,863473	2,82886E-10
22300	0,833419	4,314213	0,862393	2,62237E-10
